time,laccx,laccy,laccz,grax,gray,graz,gyrx,gyry,gyrz,accx,accy,accz,magx,magy,magz
113319680,0.002685,-0.101632,0.024589,0.062228,9.681838,1.558371,0.0056375,0.0078375,-0.0050875,0.064050004,9.58005,1.5820501,48.0,39.35625,140.40001
113319700,0.002685,-0.101632,0.024589,0.062228,9.681838,1.558371,0.0056375,0.0078375,-0.0050875,0.064050004,9.58005,1.5820501,48.0,39.24375,140.45625
113319720,0.002685,-0.101632,0.024589,0.062228,9.681838,1.558371,0.0056375,0.0078375,-0.0050875,0.064050004,9.58005,1.5820501,47.8875,39.112503,140.58751
113319740,-0.04679505,-0.123743355,0.0268537,0.062146403,9.681684,1.5593386,1.9249972E-4,0.008806876,-0.0052525,0.08565001,9.645631,1.5538502,47.7,38.756252,140.88751
113319760,-0.27499878,-0.21411502,0.026441552,0.0576259,9.680714,1.5654968,-0.022350626,0.0095150005,-0.003320625,-0.06107001,9.65355,1.52793,47.7,38.5875,141.05626
113319780,-0.03016926,-0.052948315,-0.034903,0.03484742,9.6802845,1.5688444,0.019539474,-0.013583552,0.010406579,-0.12155691,9.535443,1.5662949,47.592857,38.230362,141.10983
113319800,-0.282242,-0.2481908,0.0379608,0.0306318,9.680431,1.5679846,-0.0103675,0.0076450002,-0.0032175002,0.06385001,9.70537,1.5079502,47.3025,38.15906,141.05908
113319820,-0.1462786,-0.1895288,0.0158898,0.0057632,9.679231,1.5756893,-0.01056,0.003025,-0.0012375001,-0.08241001,9.587971,1.5565801,47.21625,38.20969,141.05626
113319840,0.02941015,-0.025419157,-0.04579521,-0.006206105,9.67884,1.5780975,0.0156026315,-0.008322368,0.0068677627,-0.062301725,9.567698,1.5627,46.874065,38.62219,140.61095
113319860,-0.17734452,-0.2342525,0.0321005,-0.00495025,9.679182,1.5759993,-0.010690626,0.006325,-0.0037468749,0.07135,9.727,1.5093,46.980938,38.643753,140.58751
113319880,-0.063584745,-0.1380255,-0.010749249,-0.02054425,9.678127,1.582337,-0.003712499,9.625E-4,-3.4375E-4,-0.07595001,9.571,1.5667001,46.916252,38.75063,140.51625
113319900,0.0552715,-0.012319252,-0.062190745,-0.02567275,9.678121,1.5823021,0.0111375,-0.0061874995,0.004228125,-0.027000003,9.602475,1.5455251,47.197502,38.756252,140.79749
113319920,-0.10610853,-0.19707426,0.013698789,-0.021653632,9.678738,1.5785866,-0.012201315,0.0043638158,-0.0042335526,0.06559286,9.710808,1.4982858,47.4975,38.756252,140.99063
113319940,-0.0073748007,-0.1093321,-0.037542302,-0.0309036,9.678047,1.5826732,-9.075003E-4,-0.0014850001,0.00218625,-0.058280006,9.5435505,1.5588001,47.5125,38.59594,140.89314
113319960,0.0631265,-0.0100873,-0.0793866,-0.0314924,9.678403,1.5804623,0.006324999,-0.00207625,0.0012237498,0.0028000064,9.626751,1.5193601,47.744064,38.462814,141.1725
113319980,-0.053422686,-0.1708989,-0.00459442,-0.026706051,9.679276,1.5752047,-0.01139079,0.004486842,-0.0038427631,0.04542857,9.696665,1.4967215,47.59594,38.456253,141.29437
113320000,0.010163,-0.06658454,-0.0435805,-0.031323098,9.678993,1.5768595,0.0032587498,-0.001794375,0.0012375,-0.046800006,9.558151,1.5501901,47.5875,38.50969,141.585
113320020,0.0402122,-0.0045642518,-0.058660544,-0.03048575,9.679464,1.5739828,0.0017256252,-4.8125E-4,1.3062498E-4,7.9999864E-4,9.656845,1.5200001,47.4,38.5875,142.08751
113320040,-0.0307405,-0.1272261,-0.010637499,-0.027290748,9.680138,1.5698953,-0.0073218746,0.0035131248,-0.0015399999,0.012,9.689476,1.5165,47.4,38.5875,142.19466
